>> Engine created.
Таблица:  bank
(18, '1', '4103', '08', '01', 0, 1)
(18, '1', '4103', '09', '01', 0, 1)
(18, '1', '4103', '10', '01', 0, 1)
(18, '1', '4103', '58', '01', 0, 1)
(18, '1', '4103', '56', '01', 0, 1)
(18, '1', '4103', '50', '01', 0, 1)
(18, '1', '4103', '50', '03', 0, 1)
(18, '1', '1101', '01', '00', 37202579, 1)
(18, '1', '1101', '05', '00', 0, 1)
(18, '1', '1101', '04', '00', 1308225, 1)
(18, '1', '1102', '02', '02', 0, 1)
(18, '1', '1305', '01', '00', 1283014, 1)
(18, '1', '1305', '02', '00', 873719, 1)
(18, '1', '1305', '03', '00', 161383, 1)
(18, '1', '1305', '05', '00', 148489, 1)
(18, '1', '1601', '06', '00', 0, 1)
(18, '1', '1102', '02', '01', 0, 1)
(18, '2', '1905', '02', '00', 0, 1)
(18, '2', '2406', '21', '00', 0, 1)
(18, '2', '1901', '01', '01', 814, 1)
(18, '2', '1901', '02', '01', 0, 1)
(18, '2', '1901', '03', '01', 44692, 1)
(18, '2', '1805', '02', '00', 0, 1)
(18, '2', '1202', '01', '00', 0, 1)
(18, '2', '1202', '02', '00', 43400, 1)
(18, '2', '1804', '15', '00', 45900, 1)
(18, '2', '2111', '00', '00', 0, 1)
(18, '2', '1203', '01', '00', 0, 1)
(18, '2', '1203', '02', '00', 0, 1)
(18, '2', '1801', '01', '00', 0, 1)
(18, '2', '4103', '50', '01', 0, 1)
(18, '2', '4103', '50', '03', 0, 1)
(18, '2', '1805', '03', '00', 400000, 1)
(18, '2', '1805', '04', '00', 604428, 1)
(18, '2', '4103', '44', '01', 0, 1)
(18, '2', '4103', '44', '03', 0, 1)
(18, '4', '1101', '01', '00', 49603443, 1)
(18, '4', '1101', '05', '00', 0, 1)
(18, '4', '1101', '04', '00', 1744300, 1)
(18, '4', '1102', '02', '02', 0, 1)
(18, '4', '1202', '01', '00', 0, 1)
(18, '4', '1202', '02', '00', 86800, 1)
(18, '4', '1305', '01', '00', 1283014, 1)
(18, '4', '1305', '02', '00', 873719, 1)
(18, '4', '1305', '03', '00', 161383, 1)
(18, '4', '1305', '05', '00', 148489, 1)
(18, '4', '2201', '11', '00', 75000, 1)
(18, '4', '1804', '15', '00', 45900, 1)
(18, '4', '1601', '06', '00', 0, 1)
(18, '4', '2111', '00', '00', 0, 1)
(18, '4', '2212', '00', '00', 10000, 1)
(18, '4', '1102', '02', '01', 0, 1)
(18, '4', '2208', '04', '00', 0, 1)
(18, '4', '1203', '01', '00', 0, 1)
(18, '4', '1203', '02', '00', 0, 1)
(18, '4', '2201', '18', '00', 8500, 1)
(18, '5', '1805', '02', '00', 0, 1)
(18, '5', '1101', '06', '01', 0, 1)
